courier ID,shift_start,shift_finish,x,y,speed
1,555,825,8074,6338,320
2,420,600,8459,3910,320
3,705,885,7743,4156,320
4,360,540,2161,6086,320
5,195,465,2181,6004,320
6,105,375,2156,6068,320
7,525,795,5878,8043,320
8,495,855,4258,5543,320
9,390,525,8702,6744,320
10,510,870,3851,4238,320
11,435,705,3832,1498,320
12,210,390,8725,8626,320
13,420,555,8516,3898,320
14,75,435,3575,4043,320
15,585,765,7909,1955,320
16,135,495,3660,4039,320
17,660,795,7859,3206,320
18,585,855,4432,5927,320
19,210,345,8157,6649,320
20,465,645,7951,6457,320
21,195,465,4016,6360,320
22,510,780,7898,4023,320
23,495,855,7740,4262,320
24,660,795,8174,6465,320
25,585,765,7936,5127,320
26,465,645,7745,6972,320
27,450,720,8054,6628,320
28,570,930,6670,3762,320
29,525,795,5175,6613,320
30,585,765,5579,4826,320
31,450,720,9215,6400,320
32,180,315,7854,6477,320
33,495,855,7853,7012,320
34,330,465,2152,5998,320
35,165,435,7776,6050,320
36,465,645,3830,4351,320
37,135,405,3650,4168,320
38,540,810,8239,5013,320
39,330,465,8101,6289,320
40,300,480,8345,6419,320
41,30,390,9455,4284,320
42,570,930,2142,6050,320
43,195,465,8331,5083,320
44,480,660,7923,4231,320
45,285,465,4224,5507,320
46,480,660,6797,6310,320
47,645,825,8069,6551,320
48,285,420,4333,5502,320
49,300,480,3971,6144,320
50,555,825,8182,4998,320
51,540,720,3533,4050,320
52,525,795,7829,5315,320
53,150,330,7885,4204,320
54,600,870,7790,4240,320
55,0,360,6129,8171,320
56,15,195,9548,4289,320
57,525,795,8213,6645,320
58,15,195,9595,4319,320
59,540,810,3759,1396,320
60,480,660,3905,1539,320
61,375,555,8533,2797,320
62,210,390,8188,6486,320
63,750,885,7903,4222,320
64,555,825,6736,3874,320
65,510,780,8148,5024,320
66,525,795,2336,6075,320
67,210,345,3651,4029,320
68,495,855,8095,6576,320
69,705,885,8914,8023,320
70,540,720,8162,6186,320
71,210,345,8729,8780,320
72,15,195,6752,2631,320
73,540,810,3519,4107,320
74,585,855,7980,4975,320
75,570,930,6813,3853,320
76,660,795,9321,6177,320
77,105,285,2139,6004,320
78,555,825,4159,4050,320
79,105,375,9018,5540,320
80,585,765,7910,4217,320
81,450,720,8321,5134,320
82,105,240,2099,6024,320
83,0,360,7881,6539,320
84,495,855,2206,6163,320
85,540,720,3740,4233,320
86,105,375,7889,4229,320
87,435,570,8167,6597,320
88,165,300,2083,5994,320
89,705,885,6650,3838,320
90,480,660,8572,6361,320
91,540,810,8043,6314,320
92,480,660,8450,6588,320
93,615,750,7878,4274,320
