courier on_time off_time x y 
c55 465 645 7951 6457 
c46 435 570 8167 6597 
c27 210 345 3651 4029 
c54 465 645 3830 4351 
c42 390 525 8702 6744 
c4 15 195 6752 2631 
c8 75 435 7742 4257 
c78 540 720 8194 6072 
c111 660 795 9321 6177 
c75 525 795 7829 5315 
c65 495 855 4258 5543 
c29 210 345 8729 8780 
c44 420 555 8516 3898 
c101 585 855 7980 4975 
c68 510 780 8148 5024 
c92 570 930 6813 3853 
c63 495 855 7740 4262 
c88 555 825 8074 6338 
c39 330 465 2152 5998 
c64 495 855 2206 6163 
c87 540 810 3759 1396 
c104 600 870 7790 4240 
c97 585 765 4282 6058 
c73 525 795 5878 8043 
c5 15 195 9548 4289 
c7 75 435 3575 4043 
c109 660 795 8174 6465 
c32 270 450 7930 4135 
c69 510 870 3851 4238 
c107 645 825 2094 6109 
c38 330 465 8101 6289 
c100 585 765 5579 4826 
c26 210 390 8725 8626 
c13 105 240 2099 6024 
c57 480 660 3918 6348
c79 540 720 3740 4233 
