order x y placement_time restaurant ready_time 
o83 7295 3590 281 r48 293 
o298 8860 10501 186 r36 222 
o357 7033 9046 481 r1 504 
o385 7285 7766 608 r27 636 
o352 8397 9938 551 r9 567 
o340 8090 6719 640 r28 646 
o461 10279 9062 716 r21 732 
o485 6044 7736 566 r38 585 
o361 7110 9725 792 r22 802 
o354 5794 5917 328 r10 338 
o466 7626 10102 785 r16 792 
o21 9079 10543 607 r18 614 
o162 7361 8805 631 r15 641 
o278 8145 7790 665 r12 673 
o139 6915 9914 605 r5 635 
o200 6463 9492 755 r38 784 
o396 9051 8351 592 r73 610 
o366 7500 9588 640 r1 668 
o213 2851 7619 546 r5 566 
o420 8137 10968 765 r57 786 
o516 7243 7617 459 r11 489 
o101 3548 8278 558 r17 579 
o219 3209 8015 330 r8 337 
o507 5787 5640 715 r17 745 
o254 2486 7867 666 r1 684 
o251 7022 9696 617 r1 637 
o167 8469 9898 543 r16 553 
o53 7464 7807 485 r36 514 
o383 7010 10253 681 r3 702 
o72 10688 8767 185 r15 190 
o534 6921 4351 384 r43 386 
o288 8191 8888 598 r94 616 
o389 9045 7647 676 r84 694 
o310 8583 10430 619 r12 629 
o305 8717 10018 633 r39 641 
o42 8627 9979 506 r23 524 
o87 8204 10339 475 r1 502 
o32 5232 8231 362 r17 382 
o143 8864 8734 681 r36 695 
o168 7282 10753 587 r1 595 
o63 10017 8801 238 r11 268 
o5 3091 7890 598 r5 628 
o75 7228 10432 241 r12 247 
o443 10564 5006 499 r21 517 
o477 7099 9064 475 r20 505 
o491 5390 6792 552 r12 557 
o347 9493 7066 342 r45 370 
o123 8231 7607 478 r46 508 
o410 9434 5801 718 r28 728 
o272 7931 8803 782 r36 797 
o84 9152 7955 328 r49 343 
o282 7510 0 399 r43 400 
o100 5934 8332 33 r58 34 
o256 3892 7835 622 r27 675 
o237 8235 9550 634 r78 664 
o135 7002 6725 697 r38 717 
o70 7189 2727 347 r43 361 
o360 10063 8961 205 r35 230 
o202 10494 9053 661 r55 686 
o161 8860 5068 544 r75 559 
o355 3274 5234 571 r25 601 
o363 6255 8287 463 r30 478 
o503 7657 7573 690 r88 701 
o131 6453 10260 143 r66 173 
o444 8427 9010 777 r38 797 
o155 8151 5454 706 r73 719 
o138 6952 9561 118 r70 122 
o299 7340 9728 578 r53 589 
o290 9789 8949 180 r53 194 
o97 10580 6979 573 r53 582 
o314 7594 5873 596 r68 625 
o307 10366 7927 613 r80 615 
o378 10289 8102 415 r107 420 
o480 9031 5703 194 r119 215 
o356 8817 5734 141 r103 171 
