restaurant x y 
r174 27299 19915 
r54 24834 16438 
r50 27435 15443 
r3 25481 17779 
r152 29133 16405 
r29 28840 15969 
r234 28609 14656 
r120 23322 24615 
r34 27390 17389 
r154 27187 19867 
r23 28799 15786 
r20 29199 14535 
r96 27081 18053 
r18 25704 21379 
r38 27639 20599 
r21 31927 5789 
r46 28482 14518 
r128 22090 26249 
r73 27634 21241 
r35 24165 19090 
r199 29575 16191 
r91 23079 18854 
r9 23030 21399 
r36 25239 17983 
r40 29295 16462 
r124 27595 20697 
r2 24887 17961 
r6 28969 15001 
r14 23827 17404 
r37 27409 19789 
r101 28023 14832 
r32 25607 24602 
r59 28981 16276 
r81 27950 20127 
r115 27352 14532 
r26 28565 16370 
r7 24442 11250 
r5 26534 18885 
r66 29243 13180 
r122 26275 15888 
r82 25772 22402 
r110 27729 21140 
r69 25013 18092 
r163 29304 17060 
r92 27069 14740 
r210 26947 19407 
r112 28018 19770 
r136 26123 20954 
r170 26296 16437 
r88 27332 15599 
r86 29490 15508 
r145 25263 12322 
r99 27755 20907 
r181 24852 16596 
r57 27760 20916 
r158 25179 17400 
r198 29371 16035 
r126 28814 14755 
r129 29156 16246 
r142 26596 15593 
r147 28329 15616 
r127 22502 20222 
r169 27749 20661 
r121 29982 15208 
r113 28375 19218 
r190 29273 15491 
r157 28901 17433 
r230 24199 24138 
r245 3334 31944 
